ENERGY STAR Unique ID,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Heat Pump Technology,Voltage (V),Drum Capacity (cu-ft),Height (inches),Width (inches),Depth (inches),Combined Energy Factor (CEF),Estimated Annual Energy Use (kWh/yr),Estimated Energy Test Cycle Time (min),Energy Test Cycle Information,Additional Dryer Features,Vented or Ventless,Connected,Connects Using,Communication Standard - Application Layer,Direct on-premises Open-standard Based Interconnection,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh),Paired ENERGY STAR Clothes Washer Available,Paired ENERGY STAR Clothes Washer ENERGY STAR Model Identifier,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2281224,GE,GFD49E**K***,GFD49E**K***,",GFD48E**K***,; ,GFD48ESPKDG,; ,GFD48ESPKRR,; ,GFD48ESSKWW,; ,GFD49ERPKDG,; ,GFD49ERPKRR,; ,GFD49ERSKWW,"," 08469182033, 08469182037, 08469182032, 08469182034,08469182035, 08469182036",Electric,,,8.3,47,28,34.38,3.93,608,77,"COTTONS CYCLE WITH THE DEFAULT EDRY ON, WHICH INCLUDES LOW TEMPERATURE SETTING AND DRY DRYNESS SETTING","Drum light,Time remaining display,Steam cycle,Other",Vented,No,,,,,Yes," ES_1123206_GFW480S*K***_02122018160447_1487386,ES_1123206_GFW490R*K***_09232016171647_1007026",10/13/2016,10/12/2016,United States,ES_1123206_GFD49E**K***_10122016194625_1585797,No
2281076,GE,GFD49G**K***,GFD49G**K***,",GFD48G**K***,; ,GFD48GSPKDG,; ,GFD48GSPKRR,; ,GFD48GSSKWW,; ,GFD49GRPKDG,; ,GFD49GRPKRR,; ,GFD49GRSKWW,"," 08469182046, 08469182043, 08469182044,08469182045, 08469182047, 08469182042",Gas,,,8.3,47,28,34.38,3.48,687,69,"COTTONS CYCLE WITH THE DEFAULT EDRY ON, WHICH INCLUDES LOW TEMPERATURE SETTING AND DRY DRYNESS SETTING","Drum light,Time remaining display,Steam cycle,Other",Vented,No,,,,,Yes," ES_1123206_GFW480S*K***_02122018160447_1487386,ES_1123206_GFW4GFW480S*K***",10/11/2016,10/11/2016,United States,ES_1123206_GFD49G**K***_10112016171924_6364021,No
2325052,GE,H41E_5_M,GFT14ES*M***,"GFT14ES*M***,GFT14ESSMWW,",084691826668,Ventless Electric Compact 240V,,240,4.1,33.25,23.44,25.25,2.68,317,30,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Ventless,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,09/03/2018,08/29/2018,"United States, Canada",ES_1123206_GFT14ES*M***_08292018161048_9048548,No
2325053,GE,H41E_5_M,GFT14JS*M***,"GFT14JS*M***,GFT14JSIMWW,",084691839118,Ventless Electric Compact 240V,,240,4.1,33.25,23.44,25.25,2.68,317,30,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF HIGH, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Ventless,No,,,,,Yes,ES_1123206_GFW148S*M***_08272018155407_5247195,09/03/2018,08/29/2018,"United States, Canada",ES_1123206_GFT14JS*M***_08292018161132_9092151,No
2318599,GE,M70E_1_MA,GFV40ESCM***,"GFV40ESCM***,GFV40ESCMWW,",084691827481,Electric,,,7,39.38,27,32.19,3.93,608,60,"COTTONS CYCLE WITH THE DEFAULT TEMPERATURE SETTING OF EXTRA LOW, DRYNESS SETTING OF DRY, AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,,,04/25/2018,04/18/2018,United States,ES_1123206_GFV40ESCM***_04182018151857_4737934,No
2246396,GE,GTD65EB*J***,GTD65EB*J***,,8,Electric,,,7.4,43.7,26.96,30.48,3.93,608,60,COTTONS/LOW TEMP CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1123206_GTW680BSJ***_07162015225809_7489368,09/01/2015,08/23/2015,"United States, Canada",ES_1123206_GTD65EB*J***_08242015154618_1178596,No
2274066,GE,GTD65EB*K***,GTD65EB*K***,,757638970907,Electric,,,7.4,43.7,26.96,30.48,3.93,608,59,COTTONS/LOW TEMP CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes," ES_1123206_GTW680BSJ4WS_02142018122007_0807403,ES_1123206_GTW680BSJ3WS_07082016164816_6496700, ES_1123206_GTW680BSJ4WS_12122016184150_8110488",10/03/2016,08/03/2016,Canada,ES_1123206_GTD65EB*K***_08032016202124_5684267,No
2297023,GE,GTD65EBSJ0WS,GTD65EB*L***,,84691825111,Electric,,,7.4,43.7,26.96,30.48,3.93,608,60,"COTTONS CYCLE, LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,Yes," ES_1123206_GTW680BSJ4WS_02142018122007_0807403,ES_1123206_GTW680BSJ3WS_07082016164816_6496700, ES_1123206_GTW680BSJ4WS_12122016184150_8110488",06/05/2017,06/05/2017,United States,ES_1123206_GTD65EB*L***_06052017120810_4490815,No
2246397,GE,GTD65GB*J***,GTD65GB*J***,,8,Gas,,,7.4,43.7,26.96,30.48,3.48,687,76,COTTONS/LOW TEMP CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1123206_GTW680BSJ***_07162015225809_7489368,09/01/2015,08/23/2015,"United States, Canada",ES_1123206_GTD65GB*J***_08242015155701_1821764,No
2274065,GE,GTD65GB*K***,GTD65GB*K***,,757638970914,Gas,,,7.4,43.7,26.96,30.48,3.48,687,77,COTTONS/LOW TEMP CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes," ES_1123206_GTW680BSJ4WS_02142018122007_0807403,ES_1123206_GTW680BSJ3WS_07082016164816_6496700, ES_1123206_GTW680BSJ4WS_12122016184150_8110488",10/03/2016,08/03/2016,"United States, Canada",ES_1123206_GTD65GB*K***_08032016202149_5709741,No
2297024,GE,GTD65GBSJ0WS,GTD65GB*L***,,84691825128,Gas,,,7.4,43.7,26.96,30.48,3.48,687,77,"COTTONS CYCLE, LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,No,,,,,Yes," ES_1123206_GTW680BSJ4WS_02142018122007_0807403,ES_1123206_GTW680BSJ3WS_07082016164816_6496700, ES_1123206_GTW680BSJ4WS_12122016184150_8110488",06/05/2017,06/05/2017,United States,ES_1123206_GTD65GB*L***_06052017123211_5931413,No
2299202,GE,GTD75ECML***,GTD75ECML***,,757638970761,Electric,,,7.4,43.7,26.96,30.48,3.93,608,59,COTTONS CYCLE / LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,07/01/2017,07/06/2017,Canada,ES_1123206_GTD75ECML***_07062017170010_0410417,No
2296977,GE,M74E_1_L,GTD75ECPL***,",GTD75ECPLDG,",084691825098,Electric,,,7.4,43.7,26.96,30.48,3.93,608,59,COTTONS CYCLE / LOW TEMP / WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,06/05/2017,06/02/2017,United States,ES_1123206_GTD75ECPL***_06022017183849_8729939,No
2296978,GE,M74E_1_L,GTD75ECSL***,",GTD75ECSLWS,",084691824121,Electric,,,7.4,43.7,26.96,30.48,3.93,608,59,COTTONS CYCLE / LOW TEMP / WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,06/05/2017,06/02/2017,United States,ES_1123206_GTD75ECSL***_06022017183522_8522094,No
2299203,GE,GTD75GCML***,GTD75GCML***,,757638970945,Gas,,,7.4,43.7,26.96,30.48,3.48,687,75,COTTONS CYCLE / LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,07/01/2017,07/06/2017,Canada,ES_1123206_GTD75GCML***_07062017170144_0504053,No
2297011,GE,M74G_4_L,GTD75GCPL***,",GTD75GCPL0DG,",084691825104,Gas,,,7.4,43.7,26.96,30.48,3.48,687,75,COTTONS CYCLE / LOW TEMP / WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,06/05/2017,06/02/2017,United States,ES_1123206_GTD75GCPL***_06022017200011_3611781,No
2297012,GE,M74G_4_L,GTD75GCSL***,",GTD75GCSLWS,",084691824268,Gas,,,7.4,43.7,26.96,30.48,3.48,687,75,COTTONS CYCLE / LOW TEMP / WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,No,,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,06/05/2017,06/02/2017,United States,ES_1123206_GTD75GCSL***_06022017195146_3106632,No
2267736,GE,GTD81ESPJ2MC,GTD81ESPJ2MC,,08469181040,Electric,,,7.8,44.5,28,31.9,3.93,608,69,"COTTONS CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON, WHICH INCLUDES LOW TEMPERATURE SETTING","Drum light,Time remaining display,Steam cycle,Energy monitor/indicator",Vented,No,,,,,Yes,ES_1123206_GTW810S*J***_04302015180548_7148523,12/21/2015,05/13/2016,United States,ES_1123206_GTD81ESPJ2MC_05132016163118_7078773,No
2267737,GE,GTD81ESSJ2WS,GTD81ESSJ2WS,,08469181039,Electric,,,7.8,44.5,28,31.9,3.93,608,69,"COTTONS CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON, WHICH INCLUDES LOW TEMPERATURE SETTING","Drum light,Time remaining display,Steam cycle,Energy monitor/indicator",Vented,No,,,,,Yes,ES_1123206_GTW810S*J***_04302015180548_7148523,12/21/2015,05/13/2016,United States,ES_1123206_GTD81ESSJ2WS_05132016163147_7107967,No
2238688,GE,GTD81GS*J***,GTD81GS*J***,,84691810445,Gas,,,7.8,44.5,28,31.9,3.48,687,68,COTTONS CYCLE/ LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Steam cycle,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1123206_GTW810S*J***_04302015180548_7148523,05/01/2015,04/15/2015,United States,ES_1123206_GTD81GS*J***_05042015175359_2039033,No
2238690,GE,GTD86ES*J***,GTD86ES*J***,,8,Electric,,,7.8,44.5,28,31.9,3.93,608,69,COTTONS CYCLE/ LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Steam cycle,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1123206_GTW860S*J***_04302015175921_6761983,05/01/2015,04/15/2015,United States,ES_1123206_GTD86ES*J***_04172015164445_9085180,No
2238689,GE,GTD86GS*J***,GTD86GS*J***,,8,Gas,,,7.8,44.5,28,31.9,3.48,687,68,COTTONS CYCLE/ LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display,Steam cycle,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_1123206_GTW860S*J***_04302015175921_6761983,05/01/2015,04/15/2015,United States,ES_1123206_GTD86GS*J***_05042015175141_1901305,No
2252704,GE,GTX65EB*J***,GTX65EB*J***,,1,Electric,,,6.2,43.7,26.96,26.75,3.93,608,59,"COTTONS CYCLE WITH DEFAULT DRYNESS SETTING OF DRY, LOW TEMP, AND DEFAULT EDRY ON","Drum light,Time remaining display,Wrinkle prevention option,Sanitization cycle",Vented,No,,,,,Yes," ES_1123206_GTW680BSJ4WS_02142018122007_0807403,ES_1123206_GTW680BSJ3WS_07082016164816_6496700, ES_1123206_GTW680BSJ4WS_12122016184150_8110488",11/20/2015,11/16/2015,United States,ES_1123206_GTX65EB*J***_11162015221610_2170044,No
2253651,GE,GTX65GB*J***,GTX65GB*J***,,8,Gas,,,6.2,43.7,26.96,26.75,3.48,687,77,"COTTONS CYCLE WITH DEFAULT DRYNESS SETTING OF DRY, LOW TEMP, AND DEFAULT EDRY ON.","Drum light,Time remaining display,Wrinkle prevention option,Sanitization cycle",Vented,No,,,,,Yes,ES_1123206_GTW680BSJ***_07162015225809_7489368,11/27/2015,11/25/2015,United States,ES_1123206_GTX65GB*J***_11252015204623_4383686,No
2330573,GE,M60E_1_N,GUD27EE*N***,",GUD27EESNWW,",084691844198,Electric,,,6,75.88,26.75,30.88,3.93,608,64,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,No,,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27EE*N***_12032018135702_5422248,No
2330574,GE,M60E_1_N,GUD27EE*N***,",GUD27EEMNWW,",757638359115,Electric,,,6,75.88,26.75,30.88,3.93,608,64,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,No,,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD27EE*N***_12032018135645_5405637,No
2330576,GE,M60G_4_N,GUD27GE*N***,",GUD27GESNWW,",084691844181,Gas,,,6,75.88,26.75,30.88,3.48,687,63,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,No,,,,,,,12/10/2018,11/30/2018,United States,ES_1123206_GUD27GE*N***_12032018143509_7709976,No
2330572,GE,M60E_1_N,GUD37EE*N***,",GUD37EEMNDG,",757638359122,Electric,,,6,75.88,26.75,30.88,3.93,608,64,COTTONS MEDIUM DRY WITH THE DEFAULT EDRY ON,Wrinkle prevention option,Vented,No,,,,,,,12/10/2018,11/30/2018,Canada,ES_1123206_GUD37EE*N***_12032018135740_5460966,No
2327893,Inglis,YIED5900H**,YIED5900H**,,883049485355,Electric,,,7.4,38,27,31,3.93,608,72,"REGULAR + NORMAL, HIGH TEMP (4 DOTS), DRYNESS LEVEL MEDIUM (2 DOTS), ECOBOOST ON, AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Ventless,No,,,,,Yes,ES_15649_IFW5900H**_10142018185237_3157188,10/15/2018,09/26/2018,Canada,ES_1129244_YIED5900H**_10142018213024_2624305,No
2305183,Insignia,Clothe Dryers,NS-FDRE77WH8B,",NS-FDRE77WH8B-C,",600603216305,Electric,,,7.5,45.8,27,31.1,3.93,608,62,1,"Drum light,Steam cycle",Vented,No,,,,,,,09/29/2017,10/16/2017,Canada,ES_1059185_NS-FDRE77WH8B_10172017032106_0466687,No
2257207,Kenmore,592-8966*,592-8966*,,887276139111,Electric,,,7.5,39,27,32.4,3.94,607,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Filter cleaning indicator",Vented,No,,,,,,,01/24/2016,01/13/2016,"United States, Canada",ES_1023593_592-8966*_01112016051621_70059693,No
2257206,Kenmore,592-8967*,592-8967*,,887276139067,Electric,,,7.5,39,27,32.4,3.94,607,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Filter cleaning indicator",Vented,No,,,,,,,01/24/2016,01/13/2016,"United States, Canada",ES_1023593_592-8967*_01112016051621_70059693,No
2257205,Kenmore,592-8968*,592-8968*,,887276139128,Electric,,,7.5,39,27,32.4,3.94,607,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Filter cleaning indicator",Vented,No,,,,,,,01/24/2016,01/13/2016,"United States, Canada",ES_1023593_592-8968*_01112016051621_70059693,No
2257204,Kenmore,592-8969*,592-8969*,,887276139135,Electric,,,7.5,39,27,32.4,3.94,607,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Filter cleaning indicator",Vented,No,,,,,,,01/24/2016,01/13/2016,"United States, Canada",ES_1023593_592-8969*_01112016051621_70059693,No
2257208,Kenmore,592-9969*,592-9969*,,887276139166,Gas,,,7.5,39,27,32.4,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Filter cleaning indicator",Vented,No,,,,,,,01/24/2016,01/13/2016,"United States, Canada",ES_1023593_592-9969*_01112016051621_70059693,No
2261846,Kenmore,6142#,6142#,,719192224162719,Electric,,,7.3,40.19,27,29,3.94,607,67,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,No,,03/04/2016,02/27/2016,"United States, Canada",ES_1118034_6142#_03072016122407_70065980,No
2216958,Kenmore,6142####,6142####,,"719192224162,719192324169",Electric,,,7.3,40.19,27,29,3.94,607,67,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,No,,08/22/2014,07/21/2014,"United States, Canada",ES_1118034_6142####_08012014035936_2749997,No
2308543,Kenmore,6143#,6143#,,1,Electric,,,7.3,40.19,27,28.94,3.93,608,55,Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle",Vented,No,,,,,No,,11/30/2017,12/22/2017,"United States, Canada",ES_15649_6143#_12292017012417_70163139,No
2261847,Kenmore,6146#,6146#,,719192364165719,Electric,,,7.3,40.19,27,29,3.94,607,67,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,No,,03/04/2016,02/27/2016,"United States, Canada",ES_1118034_6146#_03072016122407_70065980,No
2216959,Kenmore,6146####,6146####,,"719192364165,719192264168",Electric,,,7.3,40.19,27,29,3.94,607,67,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,No,,08/22/2014,07/21/2014,"United States, Canada",ES_1118034_6146####_08012014035936_2749997,No
2268424,Kenmore,6155#,6155#,,1,Electric,,,7.3,40.19,27,28.94,3.94,607,69,Normal_Medium Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,No,,,,,No,,06/23/2016,05/31/2016,"United States, Canada",ES_15649_6155#_06012016024614_70082029,No
2265506,Kenmore,61632610,6163261*,,883049375236,Electric,,,9.2,41,29,33,3.93,608,74,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_3163*61*_01192016111058_70060810,12/01/2015,10/27/2016,United States,ES_15649_6163261*_04282016163247_1167684,No
2265507,Kenmore,61633610,6163361*,,883049375250,Electric,,,9.2,41,29,33,3.93,608,74,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_3163*61*_01192016111059_70060810,12/01/2015,10/27/2016,United States,ES_15649_6163361*_04282016163503_1303970,No
2265508,Kenmore,6813*41+,6813*41+,,8,Electric,,,8.8,45,29,32,3.93,608,64,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,Yes,ES_0022856_2813*41+_01312015020022_70021972,06/01/2016,04/28/2016,United States,ES_15649_6813*41+_04282016170119_2879299,No
2327894,Amana,YNED5800H**,YNED5800H**,,883049457628,Electric,,,7.4,38,27,31,3.93,608,72,"REGULAR + NORMAL, HIGH TEMP (4 DOTS), DRYNESS LEVEL MEDIUM (2 DOTS), ECOBOOST ON, AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Ventless,No,,,,,Yes,ES_15649_NFW5800H**_10142018185145_3105252,10/15/2018,09/26/2018,Canada,ES_1129244_YNED5800H**_10142018212655_2415617,No
2301400,Asko,T208H.W.U,T208H.W.U,,588196,Ventless Electric Compact 240V,Heat Pump,240,3.9,33.27,23.43,25.2,4.5,189,60,"Auto, Normal","Drum light,Time remaining display,Wrinkle prevention option,Filter cleaning indicator",Ventless,No,,,,3.65,Yes,ES_1123023_W2084.W.US_07122017080224_70145269,09/01/2017,07/20/2017,"United States, Canada",ES_1123023_T208H.W.U_08032017015947_70148998,Yes
2289056,Beko,HPD24400W,HPD24400W,,7188286040,Ventless Electric Compact 240V,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,"2318078, 2318130, 2318128, 2318131",10/01/2015,01/20/2017,"United States, Canada",ES_1036108_HPD24400W_01202017203338_4418005,Yes
