ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Sanitation Method,Idle Energy Rate for Low Temp (kW),Idle Energy Rate for High Temp (kW),Water Use (gallons/rack),Water Use (gallons/hr),Water Use (gallons/sq. ft.),Date Available on Market,Date Certified,Markets,CB Model Identifier
2326459,Auto-Chlor System,Auto-Chlor,A6,A6,",A6V,",Stationary Single Tank Door,Dual Sanitizing Machine,0.37,0.69,0.48,,,01/01/2017,09/07/2018,"United States, Canada",ES_1027472_A6_09272018165424_1000674
2171016,Auto-Chlor System,Auto-Chlor,AC,AC,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.22,,1.04,,,03/19/2012,04/11/2012,"United States, Canada",ES_1027472_AC_01312013094134_1000212
2175563,Auto-Chlor System,Auto-Chlor,A5,A5,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.04,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_A5_03192013101720_1000365
2175564,Auto-Chlor System,Auto-Chlor,A4V,A4V,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.04,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_A4V_03192013101720_1000366
2175565,Auto-Chlor System,Auto-Chlor,A5V,A5V,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.04,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_A5V_03192013101720_1000367
2175566,Auto-Chlor System,Auto-Chlor,A4IW,A4IW,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.04,,,07/01/1993,03/06/2013,"United States, Canada",ES_1027472_A4IW_03192013101720_1000368
2174048,Champion Industries,Champion Industries,64,64,,Multiple Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.84,0.45,,,02/01/2013,02/28/2013,"United States, Canada",ES_1027465_64_02262013213555_7043268
2293687,Champion Industries,Champion,44Pro,44Pro,",66Pro, 70Pro-FF, 80Pro-HD,",Single Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,1.3,,78.36,,01/01/2017,11/22/2016,"United States, Canada",ES_1027465_44Pro_04032017112517_1000459
2267181,Champion Industries,Champion,EUCC6,EUCC6,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,3.5,,,,03/30/2016,03/30/2016,"United States, Canada",ES_1027465_EUCC6_05192016120119_1000345
2263671,Champion Industries,Champion,EUCCW8,EUCCW8,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,6.23,,58.56,,10/22/2015,04/04/2016,"United States, Canada",ES_1027465_EUCCW8_04042016124758_1000309
2252875,Champion Industries,Champion,EUCCW4,EUCCW4,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,4.22,,57,,08/21/2015,11/09/2015,"United States, Canada",ES_1027465_EUCCW4_11092015130816_1000202
2247962,Champion Industries,Champion,EUCCW6,EUCCW6,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,1.98,,58.8,,06/22/2015,09/14/2015,United States,ES_1027465_EUCCW6_09142015151908_1000131
2210388,Champion Industries,Champion  Industries,UH330B,UH330B,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.46,0.76,,,04/29/2014,04/24/2014,"United States, Canada",ES_1027465_UH330B_05142014142221_775721
2210005,Champion Industries,Champion,84,84,"106 PW,,; 110 FFPW,,; 120 HDPW,,",Multiple Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,2.14,0.34,,,10/05/2005,05/05/2014,"United States, Canada",ES_1027465_84_04282014150017_3444940
2181278,Champion Industries,Champion Industries,DH2000,DH2000,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.47,0.9,,,02/01/2013,05/20/2013,"United States, Canada",ES_1027465_DH2000_05022013103815_8414880
2180837,Champion Industries,Champion Industries,CH44,CH44,,Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,0.96,0.59,,,02/01/2013,05/14/2013,"United States, Canada",ES_1027465_CH44_05022013104237_9409448
2179380,Champion Industries,Champion Industries,CH66,CH66,,Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,0.96,0.59,,,02/01/2013,05/07/2013,"United States, Canada",ES_1027465_CH66_05022013104237_9707148
2179379,Champion Industries,Champion Industries,70DRFFPW,70DRFFPW,,Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.05,0.53,,,02/01/2013,05/06/2013,"United States, Canada",ES_1027465_70DRFFPW_05032013081741_8389704
2179378,Champion Industries,Champion Industries,66DRPW,66DRPW,,Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.05,0.53,,,02/01/2013,05/06/2013,"United States, Canada",ES_1027465_66DRPW_05032013081741_3729822
2179377,Champion Industries,Champion Industries,100HDPW,100HDPW,,Multiple Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.84,0.45,,,02/01/2013,02/28/2013,"United States, Canada",ES_1027465_100HDPW_05022013144601_4206338
2179376,Champion Industries,Champion Industries,90FFPW,90FFPW,,Multiple Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.84,0.45,,,02/01/2013,02/28/2013,"United States, Canada",ES_1027465_90FFPW_05022013144601_5167658
2179375,Champion Industries,Champion Industries,86PW,86PW,,Multiple Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.84,0.45,,,02/01/2013,02/28/2013,"United States, Canada",ES_1027465_86PW_05022013144600_9708825
2176701,Champion Industries,Champion,DL2000,DL2000,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1027465_DL2000_04022013165621_1000408
2176694,Champion Industries,Champion,EUCC8,EUCC8,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,5.23,,141.2,,02/01/2013,04/03/2013,"United States, Canada",ES_1027465_EUCC8_03262013224612_6684381
2176692,Champion Industries,Champion,EUCCW8,EUCCW8,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,5.59,,134,,02/01/2013,04/03/2013,"United States, Canada",ES_1027465_EUCCW8_03262013211816_1072809
2176691,Champion Industries,Champion Industries,44DR,44DR,,Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.05,0.53,,,02/01/2013,05/06/2013,"United States, Canada",ES_1027465_44DR_03262013232418_4018670
2174049,Champion Industries,Champion,EUCCW6,EUCCW6,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,3.95,,129,,02/01/2013,02/28/2013,"United States, Canada",ES_1027465_EUCCW6_02262013214442_438653
2174046,Champion Industries,Champion,EUCC6,EUCC6,,Multiple Tank Flight-type,Hot Water Sanitizing (High Temp) Machine,,3.86,,113,,02/01/2013,02/28/2013,"United States, Canada",ES_1027465_EUCC6_02192013214417_8029901
2128877,Champion Industries,Genesis,DH5000,DH5000,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.57,0.84,,,09/01/2011,08/26/2011,"United States, Canada",ES_1027465_DH5000_08282012184834_1000102
2170360,CMA Dishmachines,CMA Dishmachines,CMA-180 HTSB,CMA-180 HTSB,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,01/03/2013,"United States, Canada",ES_1055205_CMA-180 HTSB_01272013102754_1000160
2174353,CMA Dishmachines,CMA Dishmachines,EST-AH-1,EST-AH-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.09,,,06/01/2008,02/27/2013,"United States, Canada",ES_1055205_EST-AH-1_03012013164236_1000254
2173837,CMA Dishmachines,CMA Dishmachines,CMA-181GW,CMA-181GW,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.4,0.73,,,04/27/2001,02/22/2013,"United States, Canada",ES_1055205_CMA-181GW_02262013164529_1000235
2173836,CMA Dishmachines,CMA Dishmachines,CMA-180UC,CMA-180UC,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.4,0.73,,,04/27/2001,02/22/2013,"United States, Canada",ES_1055205_CMA-180UC_02262013164529_1000234
2173578,CMA Dishmachines,CMA Dishmachines,UC65e,UC65e,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.37,0.84,,,02/01/2013,02/01/2013,"United States, Canada",ES_1055205_UC65e_02182013161247_4716150
2170365,CMA Dishmachines,CMA Dishmachines,EST-44L,EST-44L,"EST-66L,EST-66L,",Multiple Tank Rack Conveyor,Chemical Sanitizing (Low Temp) Machine,0,,0.46,,,12/27/2008,01/15/2013,"United States, Canada",ES_1055205_EST-44L_01272013102754_1000157
2170364,CMA Dishmachines,CMA Dishmachines,EST-44H,EST-44H,"EST-66H,EST-66H,",Multiple Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.76,0.46,,,12/27/2008,01/15/2013,"United States, Canada",ES_1055205_EST-44H_01272013102754_1000156
2170363,CMA Dishmachines,CMA Dishmachines,CMA-180 HTC,CMA-180 HTC,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,01/03/2013,"United States, Canada",ES_1055205_CMA-180 HTC_01272013102754_1000163
2170362,CMA Dishmachines,CMA Dishmachines,CMA-180 HTS,CMA-180 HTS,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,01/03/2013,"United States, Canada",ES_1055205_CMA-180 HTS_01272013102754_1000162
2170361,CMA Dishmachines,CMA Dishmachines,CMA-180 HTCB,CMA-180 HTCB,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,01/03/2013,"United States, Canada",ES_1055205_CMA-180 HTCB_01272013102754_1000161
2174354,CMA Dishmachines,CMA Dishmachines,EST-AH-2,EST-AH-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.09,,,06/01/2008,02/27/2013,"United States, Canada",ES_1055205_EST-AH-2_03012013164236_1000255
2174830,CMA Dishmachines,Energy Mizer,EAH-2,EAH-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1055205_EAH-2_03082013153810_1000281
2174829,CMA Dishmachines,Energy Mizer,EAH-1,EAH-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1055205_EAH-1_03082013153810_1000280
2174358,CMA Dishmachines,CMA Dishmachines,EST-C-3,EST-C-3,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.09,,,06/01/2008,02/27/2013,"United States, Canada",ES_1055205_EST-C-3_03012013164236_1000259
2174357,CMA Dishmachines,CMA Dishmachines,EST-C-2,EST-C-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.09,,,06/01/2008,02/27/2013,"United States, Canada",ES_1055205_EST-C-2_03012013164236_1000258
2174356,CMA Dishmachines,CMA Dishmachines,EST-C-1,EST-C-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.09,,,06/01/2008,02/27/2013,"United States, Canada",ES_1055205_EST-C-1_03012013164236_1000257
2174355,CMA Dishmachines,CMA Dishmachines,EST-AH-3,EST-AH-3,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.09,,,06/01/2008,02/27/2013,"United States, Canada",ES_1055205_EST-AH-3_03012013164236_1000256
2262207,CMA Dishmachines,CMA Dishmachines,EST-VL,EST-VL,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0,,1.09,,,08/01/2015,03/10/2016,"United States, Canada",ES_1055205_EST-VL_03102016141151_1000273
2256083,CMA Dishmachines,CMA Dishmachines,CMA-180-T-VL,CMA-180-T-VL,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,01/01/2013,01/04/2016,"United States, Canada",ES_1055205_CMA-180-T-VL_01042016160016_1000238
2317821,CMA Dishmachines,CMA Dishmachines,CMA-181-VL,CMA-181-VL,,Under Counter - Glasswasher,Hot Water Sanitizing (High Temp) Machine,,0.32,0.73,,,10/01/2017,02/19/2018,"United States, Canada",ES_1055205_CMA-181-VL_03202018125424_1000585
2268342,CMA Dishmachines,CMA Dishmachines,CMA 180VL-FL,CMA 180VL-FL,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/25/2016,05/31/2016,"United States, Canada",ES_1055205_CMA 180VL-FL_05312016152514_1000382
2262208,CMA Dishmachines,CMA Dishmachines,EST-FL,EST-FL,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0,,1.09,,,11/01/2015,03/10/2016,"United States, Canada",ES_1055205_EST-FL_03102016141151_1000274
2174833,CMA Dishmachines,Energy Mizer,EC-2,EC-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1055205_EC-2_03082013153810_1000284
2174834,CMA Dishmachines,Energy Mizer,EC-3,EC-3,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1055205_EC-3_03082013153810_1000285
2174835,CMA Dishmachines,Energy Mizer,B-1,B-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,06/01/2010,03/04/2013,"United States, Canada",ES_1055205_B-1_03082013153810_1000286
2174836,CMA Dishmachines,Energy Mizer,B-2,B-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,06/01/2010,03/04/2013,"United States, Canada",ES_1055205_B-2_03082013153810_1000287
2174837,CMA Dishmachines,Energy Mizer,B-3,B-3,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,06/01/2010,03/04/2013,"United States, Canada",ES_1055205_B-3_03082013153810_1000288
2174832,CMA Dishmachines,Energy Mizer,EC-1,EC-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1055205_EC-1_03082013153810_1000283
2174838,CMA Dishmachines,Energy Mizer,CB-1,CB-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,06/01/2010,03/04/2013,"United States, Canada",ES_1055205_CB-1_03082013153810_1000289
2174839,CMA Dishmachines,Energy Mizer,CB-2,CB-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,06/01/2010,03/04/2013,"United States, Canada",ES_1055205_CB-2_03082013153810_1000290
2174840,CMA Dishmachines,Energy Mizer,CB-3,CB-3,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,0.97,,,06/01/2010,03/04/2013,"United States, Canada",ES_1055205_CB-3_03082013153810_1000291
2252871,CMA Dishmachines,CMA Dishmachines,CMA-180 THTC,CMA-180 THTC,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,11/09/2015,"United States, Canada",ES_1055205_CMA-180 THTC_11092015121231_1000165
2252872,CMA Dishmachines,CMA Dishmachines,CMA-180 THTCB,CMA-180 THTCB,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,11/09/2015,"United States, Canada",ES_1055205_CMA-180 THTCB_11092015121231_1000166
2252873,CMA Dishmachines,CMA Dishmachines,CMA-180 THTS,CMA-180 THTS,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,11/09/2015,"United States, Canada",ES_1055205_CMA-180 THTS_11092015121231_1000167
2252874,CMA Dishmachines,CMA Dishmachines,CMA-180 THTSB,CMA-180 THTSB,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,05/05/1997,11/09/2015,"United States, Canada",ES_1055205_CMA-180 THTSB_11092015121231_1000168
2256082,CMA Dishmachines,CMA Dishmachines,CMA-180-VL,CMA-180-VL,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.5,0.82,,,07/01/2014,01/04/2016,"United States, Canada",ES_1055205_CMA-180-VL_01042016160016_1000237
2174831,CMA Dishmachines,Energy Mizer,EAH-3,EAH-3,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,,,1.01,,,06/01/2010,02/25/2013,"United States, Canada",ES_1055205_EAH-3_03082013153810_1000282
2176774,DIHR Ali s.p.a.,CMA Dishmachines,UC50E,UC50E,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.42,0.79,,,04/01/2013,04/03/2012,United States,ES_1105798_DIHR ALI SPA (729962) | UC50E_04042013112241_4561980
2176770,DIHR Ali s.p.a.,Dihr,DS50 USA,DS50 USA,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.42,0.79,,,04/01/2013,04/03/2012,United States,ES_1105798_DIHR ALI SPA (729962) | DS50 USA_04042013112209_4529483
2176775,DIHR Ali s.p.a.,CMA Dishmachines,UC60E,UC60E,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.37,0.79,,,04/01/2013,04/03/2012,United States,ES_1105798_DIHR ALI SPA (729962) | UC60E_04042013112322_4602766
2176773,DIHR Ali s.p.a.,Kromo,LUX60EL-PLUS USA,LUX60EL-PLUS USA,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.37,0.79,,,04/01/2013,04/03/2012,United States,ES_1105798_DIHR ALI SPA (729962) | LUX60EL-PLUS USA_04042013112310_4590635
2176772,DIHR Ali s.p.a.,Dihr,ELECTRON 500 PLUS USA,ELECTRON 500 PLUS USA,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.37,0.79,,,04/01/2013,04/03/2012,United States,ES_1105798_DIHR ALI SPA (729962) | ELECTRON 500 PLUS USA_04042013112256_4576667
2176771,DIHR Ali s.p.a.,Kromo,DUPLA 50 USA,DUPLA 50 USA,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.42,0.79,,,04/01/2013,04/03/2012,United States,ES_1105798_DIHR ALI SPA (729962) | DUPLA 50 USA_04042013112227_4547065
2198230,Ecolab,Ecolab,PA-2,PA-2,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.11,,,01/30/2013,12/02/2013,"United States, Canada",ES_1027477_PA-2_12102013125256_1000065
2192745,Ecolab,Ecolab,XL-HT,XL-HT,,Stationary Single Tank Door,Dual Sanitizing Machine,0.27,0.53,0.81,,,10/01/2013,10/01/2013,"United States, Canada",ES_1027477_XL-HT_10012013105605_1000051
2198226,Ecolab,Ecolab,Apex-HT,Apex-HT,,Stationary Single Tank Door,Dual Sanitizing Machine,0.27,0.53,0.81,,,01/31/2013,12/02/2013,"United States, Canada",ES_1027477_Apex-HT_12102013113430_1000058
2198227,Ecolab,Ecolab,Omega 5E,Omega 5E,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.2,,1.16,,,01/31/2013,12/02/2013,"United States, Canada",ES_1027477_Omega 5E_12102013122245_1000060
2198228,Ecolab,Ecolab,Apex TSC Double,Apex TSC Double,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.11,,,01/30/2013,12/02/2013,"United States, Canada",ES_1027477_Apex TSC Double_12102013125256_1000063
2198229,Ecolab,Ecolab,ES-4000,ES-4000,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.11,,,01/30/2013,12/02/2013,"United States, Canada",ES_1027477_ES-4000_12102013125256_1000064
2198231,Ecolab,Ecolab,Apex TSC,Apex TSC,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.05,,,01/31/2013,12/02/2013,"United States, Canada",ES_1027477_Apex TSC  _12102013131014_1000068
2198232,Ecolab,Ecolab,ES-2000,ES-2000,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.05,,,01/31/2013,12/02/2013,"United States, Canada",ES_1027477_ES-2000_12102013131014_1000069
2198233,Ecolab,Ecolab,PA-1,PA-1,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.05,,,01/31/2013,12/02/2013,"United States, Canada",ES_1027477_PA-1_12102013131014_1000070
2198234,Ecolab,Ecolab,Kay QSR TSC,Kay QSR TSC,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.01,,1.05,,,01/31/2013,12/02/2013,"United States, Canada",ES_1027477_Kay QSR TSC_12102013131014_1000071
2231594,Ecolab,Ecolab,LWC66AR208,LWC66AR208,",LWC66AL208,; ,LWC66AL240,; ,LWC66AR240,",Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.21,0.59,,,07/20/2014,11/27/2014,"United States, Canada","ES_1027477_LWC66AR208, LWC66AL208, LWC66AR240, LWC66AL240_11182014123547_1042597"
2231595,Ecolab,Ecolab,LWC44AR208,LWC44AR208,",LWC44AL208,; ,LWC44AL240,; ,LWC44AR240,",Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,0.98,0.58,,,07/20/2014,11/18/2014,"United States, Canada","ES_1027477_LWC44AR208, LWC44AL208, LWC44AR240, LWC44AL240_11182014113421_8449060"
2319159,Ecolab,Ecolab,U-HT-1,U-HT-1,,Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.36,0.8,,,06/06/2007,02/22/2013,"United States, Canada",ES_1027477_U-HT-1_05012018135904_2853967
2326707,Ecolab,Ecolab,E-HT,E-HT,",E-HT-V,",Stationary Single Tank Door,Dual Sanitizing Machine,0.25,0.53,0.44,,,07/25/2017,08/16/2018,"United States, Canada",ES_1027477_E-HT_10022018140558_1000720
2205052,Electrolux Professional,Electrolux,"WT830M208U, WT830H208U","WT830M208U, WT830H208U",,"Pot, Pan, and Utensil",Hot Water Sanitizing (High Temp) Machine,,0.94,,,0.35,02/20/2013,03/06/2013,"United States, Canada","ES_1082677_WT830M208U, WT830H208U_08302013155706_3875543"
2181254,Electrolux Professional,"Electrolux, Veetsan, Veetsan*",EUC3IG8,EUC3IG8,",VDU30,",Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.28,0.82,,,02/15/2013,05/20/2013,"United States, Canada",ES_1082677_EUC3IG8_05162013150747_52148
2181253,Electrolux Professional,"Electrolux, Veetsan",EUC3IG4,EUC3IG4,",VDU30G4,",Under Counter,Hot Water Sanitizing (High Temp) Machine,,0.29,0.84,,,02/20/2013,05/20/2013,"United States, Canada",ES_1082677_EUC3IG4_05162013150230_8838464
2180791,Electrolux Professional,Electrolux,"EHT8TIELG8, EHT8IELG8","EHT8TIELG8, EHT8IELG8",,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.46,0.51,,,02/20/2013,05/14/2013,"United States, Canada","ES_1082677_EHT8TIELG8, EHT8IELG8_05102013153033_335504"
2178800,Electrolux Professional,Electrolux,EHT8ILG4,EHT8ILG4,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.48,0.51,,,02/20/2013,04/25/2013,"United States, Canada",ES_1082677_EHT8ILG4_04032013153758_6629907
2165655,Electrolux Professional,Electrolux,"ECRT44R240, ECRT44L240","ECRT44R240, ECRT44L240",,Single Tank Rack Conveyor,Hot Water Sanitizing (High Temp) Machine,,1.07,0.42,,,07/20/2012,03/01/2013,"United States, Canada","ES_1082677_ECRT44R240, ECRT44L240_10252012092900_412103"
