ENERGY STAR Unique ID,ENERGY STAR Partner,Service Brand Name,Service Model Name,Service Model Number,Additional Model Information,Thermostat Brand Owner,Thermostat Brand Name,Thermostat Model Name,Thermostat Model Number,Additional Thermostat Model Numbers,Family ID,Static Temperature Accuracy (±°F),Standby Power (W),Time to Enter Standby (s),Thermostat Heating and Cooling Control Features,Other Heating and Cooling Control Features,Thermostat Communication Method,Communication Method Other,Demand Response Summary,Demand Response Product Variations,Date Available on Market,Date Certified,Markets,ENERGY STAR Model Identifier
2325102,Alarm.com Incorporated,Alarm.com,Alarm.com Smart Thermostat,B36-T10**,,Alarm.com,Alarm.com,Alarm.com Smart Thermostat,B36-T10,,,0.35,1.11,12,"Time of Day Usage,Geofencing (User Device Based),Occupancy Sensor on Device,External Temperature Detection,Additional Home Temperature Sensor,Other,Humidity Sensing,Additional Occupancy Sensor",,Z-Wave,,Demand Response services are available via Energy Hub,,04/15/2015,08/30/2018,"United States, Canada",ES_1142343_B36-T10**_08272018133623_5515405
2321952,Braeburn Systems LLC,Braeburn,7320,7320,,Braeburn System LLC,Braeburn,7320,7320,,,0.5,1.11,10,"Time of Day Usage,Geofencing (User Device Based)",,Wi-Fi,,Capable,,04/01/2015,06/28/2018,"United States, Canada",ES_30371_7320_06262018135217_9968072
2321953,Braeburn Systems LLC,Braeburn,7205,7205,,Braeburn System LLC,Braeburn,7205,7205,,,1.1,0.09,10,"Time of Day Usage,Geofencing (User Device Based)",,Wi-Fi,,Capable,,07/01/2018,06/28/2018,"United States, Canada",ES_30371_7205_06262018135907_9763452
2321954,Braeburn Systems LLC,Braeburn,7300,7300,,Braeburn System LLC,Braeburn,7300,7300,,,0.57,0.91,10,"Time of Day Usage,Geofencing (User Device Based)",,Wi-Fi,,Capable,,10/01/2016,06/28/2018,"United States, Canada",ES_30371_7300_06262018140415_7219049
2323268,Braeburn Systems LLC,Braeburn,7305,7305,,Braeburn System LLC,Braeburn,7305,7305,,,0.47,1.07,10,"Time of Day Usage,Geofencing (User Device Based)",,Wi-Fi,,Capable,,10/01/2016,07/25/2018,"United States, Canada",ES_30371_7305_07232018152305_595819
2326497,Braeburn Systems LLC,PROSTAT,PRS7325WF,PRS7325WF,,Goodman Manufacturing,PROSTAT,PRS7325WF,PRS7325WF,,,1.1,0.09,10,"Time of Day Usage,Geofencing (User Device Based)",,Wi-Fi,,Capable,,10/01/2018,09/27/2018,"United States, Canada",ES_30371_PRS7325WF_09262018122708_3045923
2332941,Carrier Corporation,Côr,Côr 5C,TSTWHA01,,Carrier Corporation,Côr,Côr 5C,TSTWHA01,,,0.58,0.74,0,"Geofencing (User Device Based),Other","Touch n Go (through App)
Advanced Intelligent Smart Setback",Wi-Fi,,"The thermostat has an interface specification, application programming interface (API) that is available to enables DR functionality for load dispatch from a 3rd party program administrator. In addition, the thermostat complies with the 2016 California Energy Commission Title 24, Part 6 Joint Appendix 5.",,07/31/2017,02/01/2019,"United States, Canada",ES_1020846_TSTWHA01_02032019223758_3478586
2332942,Carrier Corporation,Côr,Côr 7C,TSTWRH01,,Carrier Corporation,Côr,Côr 7C,TSTWRH01,,,1.87,1.88,0,"Geofencing (User Device Based),Other,Humidity Sensing","Touch n Go (through App)
Advanced Intelligent Smart Setback",Wi-Fi,,"The thermostat has an interface specification, application programming interface (API) that is available to enables DR functionality for load dispatch from a 3rd party program administrator. In addition, the thermostat complies with the 2016 California Energy Commission Title 24, Part 6 Joint Appendix 5.",,07/31/2017,02/01/2019,"United States, Canada",ES_1020846_TSTWRH01_02032019225800_4680775
2330690,Centrica Hive Limited,HIVE,Hive Thermostat,SLT4,,Hive,Hive,Hive Thermostat,SLT4,,,1.91,0.7,43,"Time of Day Usage,Geofencing (User Device Based),Other,Humidity Sensing",Outside Temperature based on address,Zigbee,,"Hive Thermostat is enabled to take part in Demand Response events with aggregators such as OhmConnect. 
For this purpose, the Hive Thermostat features a RESTful API that allows aggregators to modify thermostat settings within the limits determined by agreed business rules. Thermostats can be accessed individually or in groups based on e.g. zip code based on data provided during the registration with the Demand Response service. During this registration the user enables the connection between the Demand Response service and the Hive platform by entering Hive service credentials according to OAuth2.0.
The agreed business rules safeguard the comfort of users so that indoor temperatures remain acceptable and the events take place for a limited time and on a limited number of occasions. Hive Thermostat can be accessed anywhere anytime with a mobile application or a web application that enables users to set a schedule and optimize the savings they can make by adapting the HVAC operation to their needs depending on the day of the week and the time of the day. The Hive Thermostat connects with the Nano2 hub using ZigBee HA, which makes it possible to add other connected devices to the Demand Response service. The Nano2 hub connects to the Hive platform over the internet via an Ethernet connection with the user’s broadband router.",,05/01/2017,12/04/2018,"United States, Canada",ES_1141455_SLT4_12042018193628_2188336
2295125,"ecobee, Inc.",Ecobee,ecobee3,EB-STATE3***-##,",EB-STATE3C-02,; ,EB-STATE3R-02,; ,EB-STATE3VP-02,; ecobee3,EB-STATE3-02,",ecobee,ecobee,ecobee3,EB-STATE3***-##,"EB-STATE3-02, EB-STATE3C-02, EB-STATE3R-02, EB-STATE3VP-02",FAM_1075965_05082018175034_1835822,0.53,1.06,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,09/01/2014,04/28/2017,"United States, Canada",ES_1075965_EB-STATZE3-02_04282017135037_7437141
2295127,"ecobee, Inc.",Ecobee,ecobee3 Lite,EB-STATE3LT***-##,",EB-STATE3LT-01,; ,EB-STATE3LTC-02,; ,EB-STATE3LTP-02,; ,EB-STATE3LTPB-01,; ,EB-STATE3LTPC-02,; ,EB-STATE3LTR-02,; ,EB-STATE3LTVP-01,",ecobee,ecobee,ecobee3 Lite,EB-STATE3LT***-##,"EB-STATE3LT-01, EB-STATE3LTP-02, EB-STATE3LTC-02, EB-STATE3LTPC-02, EB-STATE3LTVP-01, EB-STATE3LTPB-01, EB-STATE3LTR-02",FAM_1075965_05082018172957_0597664,0.45,0.81,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,09/01/2014,04/28/2017,"United States, Canada",ES_1075965_EB-STAT3LT01_04282017135714_7834140
2295128,"ecobee, Inc.",Bryant,Bryant Housewise,T6-WEM01-A,,ecobee,Bryant Housewise,BRYANT,T6-WEM01-A,,FAM_1075965_05082018172957_0597664,0.45,0.81,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,09/01/2014,04/28/2017,"United States, Canada",ES_1075965_T6-WEM01-A_04282017135732_7852734
2295129,"ecobee, Inc.",Carrier,Carrier Cor,TP-WEM01-A,,ecobee,Carrier Cor,CARRIER,TP-WEM01-A,,FAM_1075965_05082018172957_0597664,0.45,0.81,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,09/01/2014,04/28/2017,"United States, Canada",ES_1075965_TP-WEM01-A_04282017135751_7871297
2295130,"ecobee, Inc.",Ecobee,ecobee4,EB-STATE4***-##,",,ecobee4 Thermostat with Amazon Alexa Built-in; ,EB-STATE4-01,; ,EB-STATE4C-01,; ,EB-STATE4P-01,; ,EB-STATE4PB-01,; ,EB-STATE4PC-01,; ,EB-STATE4R-01,",ecobee,ecobee,ecobee4,EB-STATE4***-##,"EB-STATE4-01, EB-STATE4P-01, EB-STATE4PC-01, EB-STATE4C-01, EB-STATE4PB-01, EB-STATE4R-01",FAM_1075965_05082018180013_2414203,0.7,1.19,60,"Time of Day Usage,Occupancy Sensor on Device,Additional Home Temperature Sensor,Humidity Sensing,Additional Occupancy Sensor",,"Wi-Fi,Other",Chip Insert feature to allow for other Communication Methods,"ENERGY STAR Program Requirements, Product Specification for CT Thermostat Products, V 1.0.  Eligibility Criteria Demand Response Capabilities Summary description of the CT product’s and/or associated CT service provider’s DR capabilities/services shall be submitted. In this summary, EPA recommends noting the following, as applicable: ecobee Summary.  Since 2008, ecobee has offered flexible demand response services solutions to various utilities across North America.  Our thermostats are currently involved in more than 20 demand response programs across North America.  ecobee thermostats are designed to respond to demand response signals, and our company provides head-end related demand response event execution services. These services allow utility customers to configure and tailor their event strategies as required, while also allowing them to alter their strategies for different groups of customers.  In addition, we are integrated and work with various Demand Response Management Systems (DRMS) service provider platforms and/or software.  Through these DRMS integrations, utility and other utility services companies can provide the seamless customer communication required for demand response and demand management. Our integration with various DRMS platforms, along with the data we collect, also facilitates locational demand response.  All ecobee thermostats are Wi-Fi enabled for communication with ecobee web servers.  Utility sector, implementer and DRMS company customers have three Wi-Fi-specific options available to them to issue demand response events to ecobee thermostats.",,05/03/2017,04/28/2017,"United States, Canada",ES_1075965_EB-STATE4-01_04282017140445_8285851
2295064,"EcoFactor, Inc.",EcoFactor,simple S100,simple S100,,"EcoFactor, Inc.",EcoFactor,simple S100 B,simple S100 B,"simple S100 W, simple S100-01, simple S100-02",,0.51,0.55,30,External Temperature Detection,,Wi-Fi,,"EcoFactor thermostats provide market-leading capabilities in deployments nationwide. Our thermostat has participated in demand management via load dispatch, as well as time-of-use pricing response. The S100 thermostat offers a robust set of RESTful APIs to partners, allowing for straight-forward integration. Available for partner use are both a “Thermostat API Specification” and “DR API Specification,” offering server-to-server communications specific to general thermostat control, and demand response control, respectively.EcoFactor supports locational DR, allowing users to create “groups” based on segmenting features. Zip code is the primary characteristic used for segmentation, but custom groups are also possible. As an OpenADR member, EcoFactor is committed to openness and interoperability.EcoFactor reports run-time and thermostat performance at minute intervals, allowing for detailed measurement and verification of performance, including measurement of overrides. EcoFactor also records the type of HVAC equipment controlled by thermostat and continuously measures and records indoor and set point temperatures. Thermostat customers receive detailed reporting on thermostat run- time and savings versus baseline.EcoFactor is a leader in creating smart optimization, allowing for users to receive both energy efficiency– resulting in 10-15 percent annual savings on HVAC use – as well as optimized demand management, which prioritizes comfort through approaches such as pre-cooling and in-event cycling. Events can be configured by DR program managers including timing, duration, degree of cycling/offset, load shaping, and grouping. The S100 is largely compliant with 2016 CEC Title 24, Part 6 Joint Appendix 5, with the exception that the S100 does not have a physical expansion port.",,01/01/2016,04/26/2017,"United States, Canada",ES_1096966_simple S100_04252017141009_2948266
2328478,Emerson Climate Technologies,Emerson,Sensi 1F87U-42WF,Sensi 1F87U-42WF,",ST55,; ,Sensi 1F86U-42WF,",Emerson,Emerson,Sensi,1,,,0.95,0.5,7,"Time of Day Usage,Geofencing (User Device Based),Humidity Sensing",,Wi-Fi,,"Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API’s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.",,03/25/2014,10/26/2018,"United States, Canada",ES_1020720_Sensi 1F87U-42WF_10222018111012_7856256
2328479,Emerson Climate Technologies,Emerson,Sensi 1F95U-42WF,Sensi 1F95U-42WF,",ST75,; ,ST75W,; ,Sensi 1F95U-42WFB,",Emerson,Emerson,Sensi,1,,,0.5,1.2,30,"Time of Day Usage,Geofencing (User Device Based),Humidity Sensing",,Wi-Fi,,"Emerson Sensi Thermostats are designed to integrate with Utility Demand Response (DR) programs. Sensi Thermostats also provide access via API’s to Demand Response Management Systems (DRMS) providers. Sensi Thermostats are compliant with the California Energy Commission 2016 Title 24, Part 6 JA5 via virtual end node for OpenADR signals.",,03/25/2014,10/26/2018,"United States, Canada",ES_1020720_Sensi 1F95U-42WF_10042018144600_7216150
2308185,Honeywell International Inc.,Honeywell,Lyric,Lyric,,Honeywell,Honeywell,T6 Pro Wi-Fi Progammable Thermostat,TH6320WF2***,,,0.86,0.34,41,"Time of Day Usage,Geofencing (User Device Based),External Temperature Detection,Additional Home Temperature Sensor",,Wi-Fi,,"Honeywell’s connected thermostat family is enabled to respond to Demand Response (DR) events that utilities call to mitigate certain risks to the grid. These programs ultimately save consumers money while preventing adverse effects on their service.  Honeywell’s thermostats are utilized by a variety of optimization/DR firms that access our thermostats through APIs. Set points can be continuously optimized for a number of factors including real time weather and a home’s thermodynamic properties, resulting in additional energy savings.  Similarly, our thermostats can be controlled by multiple Demand Response Management Systems (DRMS) systems shedding load at peak periods.  Features include pre-cooling and various shed strategies (cycling, temperature off-set, etc.).  Our UI and apps allow for consumers to be alerted of events and offer the ability to opt out should the need occur. Feedback on an event’s opt-outs, overrides and load shed performance are available through API to the Load Managing Entity.",,09/22/2016,12/21/2017,"United States, Canada",ES_1020554_TH6320WF2***_12202017141827_1065637
