ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Power Conversion Mechanism,Minimum Configuration Tested Model Number,Active Output Power Rating Minimum Configuration (W),Apparent Output Power Rating Minimum Configuration (VA),Maximum Configuration Tested Model Number,Active Output Power Rating Maximum Configuration (W),Apparent Output Power Rating Maximum Configuration (VA),Topology (ac),Topology and Product Type Combined,Application,Rated Input Voltage (V rms),Rated Input Frequency (Hz),Rated Output Voltage (V),Rated Output Frequency (Hz),Rack Mountable,Rack Mount Height (U),Height (mm),Width (mm),Depth (mm),Total Number of Outlets,Number of Battery Backup and Surge Protected Outlets,Number of Surge Protected Only Outlets,Normal Mode(s) Input Dependency Characteristic (ac),Modular UPS,Number of Normal Modes,Default Normal Mode (ac),Test Input Voltage (V rms),Test Input Frequency (Hz),Test Output Voltage (V),Test Output Frequency (Hz),Total Input Power in W at 0% Load Min Config Lowest Dependency (ac),Total Input Power in W at 0% Load Min Config Highest Dependency (ac),Efficiency at 25% Load Min Config Lowest Dependency (ac),Efficiency at 25% Load Min Config Highest Dependency (ac),Efficiency at 50% Load Min Config Lowest Dependency (ac),Efficiency at 50% Load Min Config Highest Dependency (ac),Efficiency at 75% Load Min Config Lowest Dependency (ac),Efficiency at 75% Load Min Config Highest Dependency (ac),Efficiency at 100% Load Min Config Lowest Dependency (ac),Efficiency at 100% Load Min Config Highest Dependency (ac),Weighted Efficiency Calc Min Config Lowest Dependency,Weighted Efficiency Calc Min Config Highest Dependency,Total Input Power in W at 0% Load Minimum Configuration (dc),Efficiency at 30% Load Minimum Configuration (dc),Efficiency at 40% Load Minimum Configuration (dc),Efficiency at 50% Load Minimum Configuration (dc),Efficiency at 60% Load Minimum Configuration (dc),Efficiency at 70% Load Minimum Configuration (dc),Efficiency at 80% Load Minimum Configuration (dc),Minimum Configuration Input Power Factor Lowest-Input Dependency,Minimum Configuration Input Power Factor Highest-Input Dependency,Total Input Power in W at 0% Load Max Config Lowest Dependency (ac),Total Input Power in W at 0% Load Max Config Highest Dependency (ac),Efficiency at 25% Load Max Config Lowest Dependency (ac),Efficiency at 25% Load Max Config Highest Dependency (ac),Efficiency at 50% Load Max Config Lowest Dependency (ac),Efficiency at 50% Load Max Config Highest Dependency (ac),Efficiency at 75% Load Max Config Lowest Dependency (ac),Efficiency at 75% Load Max Config Highest Dependency (ac),Efficiency at 100% Load Max Config Lowest Dependency (ac),Efficiency at 100% Load Max Config Highest Dependency (ac),Weighted Efficiency Calc Max Config Lowest Dependency,Weighted Efficiency Calc Max Config Highest Dependency,Total Input Power in W at 0% Load Maximum Configuration  (dc),Efficiency at 30% Load Maximum Configuration (dc),Efficiency at 40% Load Maximum Configuration (dc),Efficiency at 50% Load Maximum Configuration (dc),Efficiency at 60% Load Maximum Configuration (dc),Efficiency at 70% Load Maximum Configuration (dc),Efficiency at 80% Load Maximum Configuration (dc),Maximum Configuration Input Power Factor Lowest-Input Dependency,Maximum Configuration Input Power Factor Highest-Input Dependency,Efficiency (%),Modular UPS Module Tested Model Number,Energy Storage Mechanism,Energy Storage System Technology,Energy Storage System Configuration,Energy Storage System Removable to Another Room,Energy Storage System Runtime at 100% Load (min.),Energy Storage System Runtime at 50% Load (min.),Energy Storage System Warranty (yrs),Energy Storage System Information URL,Battery Recycling URL,Network Connections Available,Communication Protocols,Communication Protocol Other,Manufacturer Take Back Program,Manufacturer Take Back Program URL,Model Web Page URL,Test Method Guidelines,Date Available on Market,Date Certified,Markets,CB Model Identifier
2333805,"CyberPower Systems, Inc.",amazonbasics,ABST400,ABST400,,Ac-output UPS,Static,ABST400,255,400,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,82,110,184,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.2,,96.8,,98.1,,98.6,,98.8,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,6,1,N/A,,None,None,,Yes,,https://www.amazon.com/AmazonBasics-Standby-UPS-400VA-Outlets/dp/B073Q48Z95/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,N/A,11/30/2017,01/14/2019,"United States, Canada",ES_1095904_ABST400_02212019053256_7176515
2333806,"CyberPower Systems, Inc.",amazonbasics,ABST600,ABST600,,Ac-output UPS,Static,ABST600,360,600,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,80,155,272,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.3,,97.4,,98.4,,98.8,,98.8,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,9,1,N/A,,USB Port,Other,HID,Yes,,https://www.amazon.com/AmazonBasics-Standby-UPS-400VA-Outlets/dp/B073Q48YGF/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1,N/A,11/30/2017,01/14/2019,"United States, Canada",ES_1095904_ABST600_02212019053317_7197462
2312821,"CyberPower Systems, Inc.",CyberPower,PR750ERTXL2U,PR750ERTXL2U,"ELITE PRO 750ERT2U,ELITE PRO 750ERT2U,; ELITE PRO 750ERTXL2U,ELITE PRO 750ERTXL2U,; PR7500ERTXL2U JP,PR7500ERTXL2U JP,; PR750ERT2U JP,PR750ERT2U JP,; PR750ERT2U,PR750ERT2U,",Ac-output UPS,Static,PR750ERTXL2U,750,750,,,,Line Interactive,ac Line Interactive (VI),Consumer,200-240,50-60,200-240,50-60,Yes,,87,433,412,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,230,50,230,50,0.63,,98.1,,98.3,,98.6,,98.6,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,10,27,1,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,SNMP (v1, 2 or 3),HTTP","TCP/IP, UDP",Yes,,N/A,N/A,03/01/2018,01/24/2018,"United States, Switzerland, Taiwan, Japan, Canada",ES_1095904_PR750ERTXL2U_03182018131033_8633530
2312822,"CyberPower Systems, Inc.",CyberPower,PR2200ERTXL2U,PR2200ERTXL2U,"ELITE PRO 1000ERT2U,ELITE PRO 1000ERT2U,; ELITE PRO 1000ERTXL2U,ELITE PRO 1000ERTXL2U,; ELITE PRO 1500ERT2U,ELITE PRO 1500ERT2U,; ELITE PRO 1500ERTXL2U,ELITE PRO 1500ERTXL2U,; ELITE PRO 2000ERT2U,ELITE PRO 2000ERT2U,; ELITE PRO 2000ERTXL2U,ELITE PRO 2000ERTXL2U,; ELITE PRO 2200ERT2U,ELITE PRO 2200ERT2U,; ELITE PRO 2200ERTXL2U,ELITE PRO 2200ERTXL2U,; PR1000ERT2U JP,PR1000ERT2U JP,; PR1000ERT2U,PR1000ERT2U,; PR1000ERTXL2U JP,PR1000ERTXL2U JP,; PR1000ERTXL2U,PR1000ERTXL2U,; PR1500ERT2U JP,PR1500ERT2U JP,; PR1500ERT2U,PR1500ERT2U,; PR1500ERTXL2U JP,PR1500ERTXL2U JP,; PR1500ERTXL2U,PR1500ERTXL2U,; PR2000ERT2U JP,PR2000ERT2U JP,; PR2000ERT2U,PR2000ERT2U,; PR2000ERTXL2U JP,PR2000ERTXL2U JP,; PR2000ERTXL2U,PR2000ERTXL2U,; PR2200ERT2U JP,PR2200ERT2U JP,; PR2200ERT2U,PR2200ERT2U,; PR2200ERTXL2U JP,PR2200ERTXL2U JP,",Ac-output UPS,Static,PR2200ERTXL2U,2200,2200,,,,Line Interactive,ac Line Interactive (VI),Consumer,200-240,50-60,200-240,50-60,Yes,,87,433,500,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,230,50,230,50,0.004,,98.7,,98.7,,98.5,,98.4,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,3,11,1,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","TCP/IP, UDP",Yes,,N/A,N/A,11/01/2017,01/24/2018,"United States, Switzerland, Taiwan, Japan, Canada",ES_1095904_PR2200ERTXL2U_03182018133339_0019820
2320691,"CyberPower Systems, Inc.",CyberPower,SE450G1,SE450G1,,Ac-output UPS,Static,SE450G1,260,450,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,210,115,81,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.92,,95.5,,97.9,,98.4,,98.5,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,6,3,N/A,,None,None,,No,,N/A,N/A,05/15/2018,04/11/2018,United States,ES_1095904_SE450G1_05202018125226_0746423
2320693,"CyberPower Systems, Inc.",CyberPower,SX650U,SX650U,,Ac-output UPS,Static,SX650U,360,650,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,250,147,82,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.89,,96.8,,98.3,,98.6,,98.8,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,9,3,N/A,,USB Port,None,,No,,N/A,N/A,05/15/2018,04/11/2018,United States,ES_1095904_SX650U_05202018130014_1214363
2320694,"CyberPower Systems, Inc.",CyberPower,ST425,ST425,,Ac-output UPS,Static,SE450G1,260,425,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,210,115,81,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.92,,95.5,,97.9,,98.4,,98.5,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,6,3,N/A,,None,None,,No,,N/A,N/A,06/15/2018,04/11/2018,United States,ES_1095904_ST425_05202018125627_0987495
2320695,"CyberPower Systems, Inc.",CyberPower,ST625U,ST625U,,Ac-output UPS,Static,SX650U,360,625,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,250,147,82,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,2.89,,96.8,,98.3,,98.6,,98.8,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,9,3,N/A,,USB Port,None,,No,,N/A,N/A,06/15/2018,04/11/2018,United States,ES_1095904_ST625U_05202018130322_1402935
2320696,"CyberPower Systems, Inc.",CyberPower,SX950U,SX950U,,Ac-output UPS,Static,SX950U,510,950,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,310,178,80,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,3.18,,97.4,,98.5,,98.7,,98.5,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,8,3,N/A,,USB Port,None,,No,,N/A,N/A,05/15/2018,04/11/2018,United States,ES_1095904_SX950U_05202018130453_1493920
2320697,"CyberPower Systems, Inc.",CyberPower,ST900U,ST900U,,Ac-output UPS,Static,SX950U,500,900,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),Consumer,120-120,50-60,120-120,50-60,No,,310,178,80,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,3.18,,97.4,,98.5,,98.7,,98.5,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,2,8,3,N/A,,USB Port,None,,No,,N/A,N/A,06/15/2018,04/11/2018,United States,ES_1095904_ST900U_05202018130758_1678289
2321480,"CyberPower Systems, Inc.",CyberPower,PR750RTXL2U,PR750RTXL2U,"PR750RT2U JP,PR750RT2U JP,; PR750RT2U,PR750RT2U,; PR750RTXL2U JP,PR750RTXL2U JP,",Ac-output UPS,Static,PR750RTXL2U,750,750,,,,Line Interactive,ac Line Interactive (VI),Consumer,100-125,50-60,100-125,50-60,Yes,,87,433,412,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.61,,97.7,,98.4,,98.6,,98.6,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,11,29,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","TCP/IP, UDP",Yes,,N/A,N/A,07/01/2018,06/08/2018,"United States, Taiwan, Japan, Canada",ES_1095904_PR750RTXL2U_06212018104718_8038734
2321481,"CyberPower Systems, Inc.",CyberPower,PR1500RTXL2U,PR1500RTXL2U,"PR1000RT2U JP,PR1000RT2U JP,; PR1000RT2U,PR1000RT2U,; PR1000RTXL2U JP,PR1000RTXL2U JP,; PR1000RTXL2U,PR1000RTXL2U,; PR1500RT2U JP,PR1500RT2U JP,; PR1500RT2U,PR1500RT2U,",Ac-output UPS,Static,PR1500RTXL2U,1500,1500,,,,Line Interactive,ac Line Interactive (VI),Consumer,100-125,50-60,100-125,50-60,Yes,,87,433,500,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.98,,98.3,,98.4,,98.6,,98.4,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,7,19,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","TCP/IP, UDP",Yes,,N/A,N/A,07/01/2018,06/08/2018,"United States, Taiwan, Japan, Canada",ES_1095904_PR1500RTXL2U_06212018104839_8119638
2321482,"CyberPower Systems, Inc.",CyberPower,PR2000RTXL2U,PR2000RTXL2U,"PR2000RT2U JP,PR2000RT2U JP,; PR2000RT2U,PR2000RT2U,",Ac-output UPS,Static,PR2000RTXL2U,2000,2000,,,,Line Interactive,ac Line Interactive (VI),Consumer,100-125,50-60,100-125,50-60,Yes,,87,433,500,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,6.37,,98.3,,98.4,,98.1,,97.8,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,4,13,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","TCP/IP, UDP",Yes,,N/A,N/A,07/01/2018,06/08/2018,"United States, Taiwan, Japan, Canada",ES_1095904_PR2000RTXL2U_06212018110131_8891341
2322460,"CyberPower Systems, Inc.",CyberPower,CP1500AVRTa,CP1500AVRTa,"CP1200AVRa,CP1200AVRa,; CP900AVRa,CP900AVRa,",Ac-output UPS,Static,CP1500AVRTa,900,1500,,,,Line Interactive,ac Line Interactive (VI),Consumer,120-120,50-60,120-120,50-60,No,,350,190,438,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4.79,,,,98.7,,98.8,,98.8,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,N/A,3,12,3,N/A,,"Serial Port,USB Port",Other,USB HID Power Devices,No,,N/A,N/A,10/01/2018,07/09/2018,United States,ES_1095904_CP1500AVRTa_07112018064639_1599831
